"CdS430(1) - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
200.00,0.14282
202.00,6.00000
204.00,6.00000
206.00,-0.44013
208.00,6.00000
210.00,6.00000
212.00,-0.16549
214.00,0.49061
216.00,2.25004
218.00,0.36347
220.00,1.49821
222.00,2.00838
224.00,1.79962
226.00,2.25030
228.00,2.21184
230.00,2.13128
232.00,2.39523
234.00,2.52894
236.00,2.51564
238.00,2.43308
240.00,2.65482
242.00,2.70681
244.00,2.52099
246.00,2.48672
248.00,2.69106
250.00,2.67578
252.00,2.82481
254.00,2.91648
256.00,2.90317
258.00,2.74251
260.00,3.15485
262.00,2.93584
264.00,2.95944
266.00,2.98619
268.00,3.13244
270.00,3.02216
272.00,3.03053
274.00,3.01778
276.00,3.04093
278.00,3.10532
280.00,2.99754
282.00,3.10917
284.00,3.10985
286.00,3.00927
288.00,2.99688
290.00,2.97173
292.00,2.86461
294.00,2.86191
296.00,2.87378
298.00,2.84522
300.00,2.79105
302.00,2.14899
304.00,2.19367
306.00,2.20079
308.00,2.20853
310.00,2.20576
312.00,2.20528
314.00,2.21826
316.00,2.18700
318.00,2.17556
320.00,2.06884
322.00,2.06847
324.00,2.01564
326.00,1.98114
328.00,1.97603
330.00,1.97692
332.00,1.90088
334.00,1.90551
336.00,1.85874
338.00,1.83151
340.00,1.81107
342.00,1.74396
344.00,1.71932
346.00,1.67019
348.00,1.64210
350.00,1.60525
352.00,1.58132
354.00,1.54215
356.00,1.52979
358.00,1.50999
360.00,1.49687
362.00,1.49675
364.00,1.48455
366.00,1.48217
368.00,1.47301
370.00,1.47023
372.00,1.45191
374.00,1.43246
376.00,1.41088
378.00,1.37375
380.00,1.32788
382.00,1.28193
384.00,1.22430
386.00,1.17264
388.00,1.13260
390.00,1.10927
392.00,1.09276
394.00,1.08927
396.00,1.09689
398.00,1.11340
400.00,1.12238
402.00,1.12778
404.00,1.11481
406.00,1.08952
408.00,1.03787
410.00,0.98326
412.00,0.93620
414.00,0.89593
416.00,0.87461
418.00,0.87641
420.00,0.89975
422.00,0.94051
424.00,1.00478
426.00,1.07884
428.00,1.14501
430.00,1.18852
432.00,1.19978
434.00,1.17953
436.00,1.12898
438.00,1.04293
440.00,0.91201
442.00,0.76335
444.00,0.62418
446.00,0.47557
448.00,0.35002
450.00,0.24054
452.00,0.16222
454.00,0.10531
456.00,0.06774
458.00,0.04005
460.00,0.02552
462.00,0.01726
464.00,0.01302
466.00,0.00928
468.00,0.00582
470.00,0.00597
472.00,0.00645
474.00,0.00676
476.00,0.00448
478.00,0.00402
480.00,0.00289
482.00,0.00332
484.00,0.00350
486.00,0.00318
488.00,0.00547
490.00,0.00313
492.00,0.00403
494.00,0.00309
496.00,0.00356
498.00,0.00377
500.00,0.00445
502.00,0.00476
504.00,0.00410
506.00,0.00239
508.00,0.00242
510.00,0.00295
512.00,0.00316
514.00,0.00360
516.00,0.00455
518.00,0.00435
520.00,0.00503
522.00,0.00317
524.00,0.00214
526.00,0.00304
528.00,0.00421
530.00,0.00399
532.00,0.00385
534.00,0.00226
536.00,0.00315
538.00,0.00313
540.00,0.00397
542.00,0.00318
544.00,0.00262
546.00,0.00188
548.00,0.00022
550.00,0.00019
552.00,0.00633
554.00,0.00262
556.00,0.00221
558.00,0.00308
560.00,0.00199
562.00,0.00237
564.00,0.00270
566.00,0.00290
568.00,0.00435
570.00,0.00383
572.00,0.00330
574.00,0.00272
576.00,0.00334
578.00,0.00206
580.00,0.00285
582.00,0.00222
584.00,0.00272
586.00,0.00209
588.00,0.00116
590.00,0.00296
592.00,0.00341
594.00,0.00312
596.00,0.00356
598.00,0.00256
600.00,0.00254
