"1550 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
800.00,0.95910
802.00,0.95387
804.00,0.94972
806.00,0.94536
808.00,0.93877
810.00,0.93742
812.00,0.93115
814.00,0.92620
816.00,0.92108
818.00,0.91666
820.00,0.91072
822.00,0.90679
824.00,0.90166
826.00,0.89509
828.00,0.88801
830.00,0.88314
832.00,0.85923
834.00,0.84791
836.00,0.84665
838.00,0.83392
840.00,0.82643
842.00,0.82130
844.00,0.81123
846.00,0.80303
848.00,0.79720
850.00,0.78733
852.00,0.78203
854.00,0.77338
856.00,0.76418
858.00,0.75906
860.00,0.75097
862.00,0.74243
864.00,0.73290
866.00,0.72538
868.00,0.71644
870.00,0.71114
872.00,0.70218
874.00,0.69551
876.00,0.68764
878.00,0.68219
880.00,0.67512
882.00,0.67009
884.00,0.66266
886.00,0.65679
888.00,0.65121
890.00,0.64638
892.00,0.63965
894.00,0.63559
896.00,0.62961
898.00,0.62688
900.00,0.62235
902.00,0.61813
904.00,0.61284
906.00,0.61022
908.00,0.60592
910.00,0.60326
912.00,0.60050
914.00,0.59751
916.00,0.59444
918.00,0.59284
920.00,0.58981
922.00,0.58835
924.00,0.58614
926.00,0.58452
928.00,0.58224
930.00,0.58095
932.00,0.57908
934.00,0.57689
936.00,0.57534
938.00,0.57347
940.00,0.57201
942.00,0.57010
944.00,0.56761
946.00,0.56557
948.00,0.56324
950.00,0.56105
952.00,0.55878
954.00,0.55582
956.00,0.55243
958.00,0.54969
960.00,0.54681
962.00,0.54384
964.00,0.53983
966.00,0.53612
968.00,0.53159
970.00,0.52734
972.00,0.52235
974.00,0.51811
976.00,0.51375
978.00,0.50900
980.00,0.50453
982.00,0.49964
984.00,0.49451
986.00,0.48928
988.00,0.48503
990.00,0.47993
992.00,0.47556
994.00,0.47041
996.00,0.46618
998.00,0.46143
1000.00,0.45718
1002.00,0.45270
1004.00,0.44832
1006.00,0.44472
1008.00,0.44066
1010.00,0.43716
1012.00,0.43328
1014.00,0.42975
1016.00,0.42707
1018.00,0.42361
1020.00,0.42130
1022.00,0.41831
1024.00,0.41606
1026.00,0.41407
1028.00,0.41193
1030.00,0.40977
1032.00,0.40892
1034.00,0.40764
1036.00,0.40659
1038.00,0.40577
1040.00,0.40507
1042.00,0.40518
1044.00,0.40510
1046.00,0.40539
1048.00,0.40565
1050.00,0.40641
1052.00,0.40701
1054.00,0.40831
1056.00,0.40930
1058.00,0.41098
1060.00,0.41282
1062.00,0.41454
1064.00,0.41668
1066.00,0.41915
1068.00,0.42104
1070.00,0.42435
1072.00,0.42630
1074.00,0.42921
1076.00,0.43202
1078.00,0.43523
1080.00,0.43787
1082.00,0.44121
1084.00,0.44377
1086.00,0.44746
1088.00,0.45008
1090.00,0.45210
1092.00,0.45627
1094.00,0.45977
1096.00,0.46224
1098.00,0.46551
1100.00,0.46796
1102.00,0.47098
1104.00,0.47365
1106.00,0.47583
1108.00,0.47804
1110.00,0.47900
1112.00,0.48156
1114.00,0.48337
1116.00,0.48411
1118.00,0.48519
1120.00,0.48601
1122.00,0.48648
1124.00,0.48608
1126.00,0.48593
1128.00,0.48558
1130.00,0.48433
1132.00,0.48350
1134.00,0.48131
1136.00,0.47992
1138.00,0.47709
1140.00,0.47455
1142.00,0.47184
1144.00,0.46883
1146.00,0.46518
1148.00,0.46190
1150.00,0.45779
1152.00,0.45380
1154.00,0.44969
1156.00,0.44515
1158.00,0.44064
1160.00,0.43618
1162.00,0.43115
1164.00,0.42668
1166.00,0.42156
1168.00,0.41633
1170.00,0.41222
1172.00,0.40722
1174.00,0.40228
1176.00,0.39771
1178.00,0.39301
1180.00,0.38826
1182.00,0.38363
1184.00,0.37861
1186.00,0.37479
1188.00,0.37003
1190.00,0.36584
1192.00,0.36148
1194.00,0.35704
1196.00,0.35334
1198.00,0.34953
1200.00,0.34536
1202.00,0.34208
1204.00,0.33815
1206.00,0.33449
1208.00,0.33074
1210.00,0.32774
1212.00,0.32411
1214.00,0.32099
1216.00,0.31741
1218.00,0.31486
1220.00,0.31127
1222.00,0.30829
1224.00,0.30491
1226.00,0.30215
1228.00,0.29837
1230.00,0.29624
1232.00,0.29190
1234.00,0.28931
1236.00,0.28565
1238.00,0.28285
1240.00,0.27988
1242.00,0.27731
1244.00,0.27332
1246.00,0.27071
1248.00,0.26709
1250.00,0.26422
1252.00,0.26064
1254.00,0.25813
1256.00,0.25384
1258.00,0.25060
1260.00,0.24680
1262.00,0.24345
1264.00,0.24000
1266.00,0.23692
1268.00,0.23330
1270.00,0.22995
1272.00,0.22621
1274.00,0.22332
1276.00,0.21917
1278.00,0.21598
1280.00,0.21215
1282.00,0.20907
1284.00,0.20590
1286.00,0.20370
1288.00,0.19883
1290.00,0.19614
1292.00,0.19264
1294.00,0.18975
1296.00,0.18636
1298.00,0.18331
1300.00,0.17997
1302.00,0.17759
1304.00,0.17409
1306.00,0.17149
1308.00,0.16826
1310.00,0.16570
1312.00,0.16185
1314.00,0.15950
1316.00,0.15614
1318.00,0.15474
1320.00,0.15172
1322.00,0.14912
1324.00,0.14653
1326.00,0.14466
1328.00,0.14185
1330.00,0.14022
1332.00,0.13747
1334.00,0.13595
1336.00,0.13397
1338.00,0.13234
1340.00,0.13010
1342.00,0.12878
1344.00,0.12648
1346.00,0.12527
1348.00,0.12364
1350.00,0.12199
1352.00,0.12045
1354.00,0.11926
1356.00,0.11804
1358.00,0.11700
1360.00,0.11490
1362.00,0.11502
1364.00,0.11325
1366.00,0.11228
1368.00,0.11113
1370.00,0.11003
1372.00,0.10852
1374.00,0.10785
1376.00,0.10660
1378.00,0.10635
1380.00,0.10512
1382.00,0.10418
1384.00,0.10351
1386.00,0.10296
1388.00,0.10231
1390.00,0.10217
1392.00,0.10183
1394.00,0.10110
1396.00,0.10272
1398.00,0.10160
1400.00,0.10331
1402.00,0.10554
1404.00,0.11161
1406.00,0.11841
1408.00,0.12249
1410.00,0.12241
1412.00,0.11942
1414.00,0.11312
1416.00,0.10386
1418.00,0.09990
1420.00,0.09837
1422.00,0.09772
1424.00,0.09779
1426.00,0.09766
1428.00,0.09761
1430.00,0.09780
1432.00,0.09823
1434.00,0.09892
1436.00,0.09959
1438.00,0.10021
1440.00,0.10152
1442.00,0.10239
1444.00,0.10343
1446.00,0.10482
1448.00,0.10612
1450.00,0.10781
1452.00,0.10957
1454.00,0.11118
1456.00,0.11339
1458.00,0.11550
1460.00,0.11781
1462.00,0.12053
1464.00,0.12310
1466.00,0.12618
1468.00,0.12902
1470.00,0.13248
1472.00,0.13606
1474.00,0.13942
1476.00,0.14250
1478.00,0.14678
1480.00,0.15232
1482.00,0.15742
1484.00,0.16240
1486.00,0.16771
1488.00,0.17338
1490.00,0.17901
1492.00,0.18470
1494.00,0.19078
1496.00,0.19753
1498.00,0.20388
1500.00,0.21279
1502.00,0.22000
1504.00,0.22800
1506.00,0.23616
1508.00,0.24555
1510.00,0.25421
1512.00,0.26504
1514.00,0.27374
1516.00,0.28538
1518.00,0.29441
1520.00,0.30592
1522.00,0.31585
1524.00,0.32871
1526.00,0.33835
1528.00,0.35197
1530.00,0.36204
1532.00,0.37602
1534.00,0.38720
1536.00,0.39972
1538.00,0.40917
1540.00,0.42283
1542.00,0.43287
1544.00,0.44655
1546.00,0.45641
1548.00,0.46984
1550.00,0.47933
1552.00,0.49156
1554.00,0.49979
1556.00,0.51116
1558.00,0.51843
1560.00,0.52784
1562.00,0.53424
1564.00,0.54253
1566.00,0.54721
1568.00,0.55294
1570.00,0.55609
1572.00,0.55976
1574.00,0.56107
1576.00,0.56183
1578.00,0.56155
1580.00,0.55938
1582.00,0.55711
1584.00,0.55283
1586.00,0.54827
1588.00,0.54046
1590.00,0.53487
1592.00,0.52441
1594.00,0.51749
1596.00,0.50540
1598.00,0.49689
1600.00,0.48267
1602.00,0.47188
1604.00,0.45594
1606.00,0.44633
1608.00,0.43065
1610.00,0.41666
1612.00,0.39958
1614.00,0.38763
1616.00,0.36920
1618.00,0.35681
1620.00,0.33824
1622.00,0.32739
1624.00,0.30890
1626.00,0.29528
1628.00,0.27918
1630.00,0.26580
1632.00,0.25045
1634.00,0.23776
1636.00,0.22455
1638.00,0.21285
1640.00,0.19957
1642.00,0.18878
1644.00,0.17653
1646.00,0.16649
1648.00,0.15604
1650.00,0.14638
1652.00,0.13539
1654.00,0.12791
1656.00,0.12176
1658.00,0.11180
1660.00,0.10554
1662.00,0.10127
1664.00,0.09353
1666.00,0.08689
1668.00,0.08077
1670.00,0.07456
1672.00,0.06918
1674.00,0.06582
1676.00,0.06165
1678.00,0.05709
1680.00,0.05627
1682.00,0.05203
1684.00,0.04658
1686.00,0.04721
1688.00,0.04210
1690.00,0.04020
1692.00,0.03625
1694.00,0.03597
1696.00,0.03381
1698.00,0.03235
1700.00,0.02846
1702.00,0.02735
1704.00,0.02800
1706.00,0.02254
1708.00,0.02230
1710.00,0.02319
1712.00,0.02135
1714.00,0.01973
1716.00,0.02150
1718.00,0.02066
1720.00,0.01786
1722.00,0.01765
1724.00,0.01691
1726.00,0.01435
1728.00,0.01292
1730.00,0.01221
1732.00,0.01368
1734.00,0.01329
1736.00,0.01111
1738.00,0.00932
1740.00,0.00982
1742.00,0.01104
1744.00,0.00847
1746.00,0.00628
1748.00,0.00597
1750.00,0.00772
1752.00,0.00523
1754.00,0.00591
1756.00,0.00539
1758.00,0.00398
1760.00,0.00346
1762.00,0.00905
1764.00,0.00640
1766.00,0.00709
1768.00,0.00539
1770.00,0.00497
1772.00,0.00583
1774.00,0.00723
1776.00,0.00150
1778.00,0.00286
1780.00,0.00186
1782.00,0.00454
1784.00,0.00377
1786.00,0.00026
1788.00,0.00522
1790.00,0.00187
1792.00,0.00319
1794.00,0.00155
1796.00,0.00076
1798.00,0.00295
1800.00,0.00124
1802.00,0.00233
1804.00,0.00197
1806.00,-0.00044
1808.00,0.00494
1810.00,0.00514
1812.00,0.00453
1814.00,0.00134
1816.00,0.00313
1818.00,0.00496
1820.00,0.00030
1822.00,0.00573
1824.00,0.00354
1826.00,-0.00041
1828.00,-0.00165
1830.00,0.00312
1832.00,0.00256
1834.00,-0.00070
1836.00,0.00160
1838.00,0.00097
1840.00,0.00445
1842.00,-0.00142
1844.00,0.00028
1846.00,0.00188
1848.00,0.00109
1850.00,-0.00109
1852.00,0.00284
1854.00,0.00152
1856.00,-0.00013
1858.00,0.00431
1860.00,0.00069
1862.00,0.00060
1864.00,0.00487
1866.00,-0.00081
1868.00,0.00199
1870.00,0.00604
1872.00,0.00577
1874.00,0.00201
1876.00,0.00115
1878.00,0.00005
1880.00,0.00091
1882.00,0.00231
1884.00,-0.00005
1886.00,0.00219
1888.00,-0.00026
1890.00,0.00245
1892.00,0.00364
1894.00,0.00366
1896.00,0.00370
1898.00,0.00094
1900.00,0.00265
1902.00,0.00170
1904.00,0.00178
1906.00,0.00068
1908.00,-0.00025
1910.00,0.00197
1912.00,0.00013
1914.00,-0.00120
1916.00,0.00188
1918.00,-0.00162
1920.00,-0.00187
1922.00,0.00271
1924.00,0.00478
1926.00,-0.00028
1928.00,-0.00179
1930.00,-0.00164
1932.00,0.00278
1934.00,-0.00019
1936.00,0.00078
1938.00,0.00359
1940.00,0.00235
1942.00,0.00340
1944.00,0.00200
1946.00,0.00145
1948.00,0.00307
1950.00,-0.00008
1952.00,0.00135
1954.00,0.00003
1956.00,0.00219
1958.00,0.00148
1960.00,0.00166
1962.00,-0.00042
1964.00,0.00051
1966.00,-0.00061
1968.00,0.00232
1970.00,0.00253
1972.00,0.00511
1974.00,0.00081
1976.00,0.00095
1978.00,0.00227
1980.00,0.00177
1982.00,0.00418
1984.00,0.00685
1986.00,0.00419
1988.00,0.00599
1990.00,0.00635
1992.00,0.00732
1994.00,0.00596
1996.00,0.00346
1998.00,0.00265
2000.00,0.00654
